"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2403","Переход по клику на 'Конструктор'","tests","2026-02-05","passed","2026-02-05","TestConstructor","test_constructor","",""
"","2730","При добавлении ингредиента в заказ увеличивается счетчик","tests","2026-02-05","passed","2026-02-05","TestConstructor","test_constructor","",""
"","7989","При создании нового заказа увеличивается 'Выполнено за все время'","tests","2026-02-05","passed","2026-02-05","TestFeed","test_feed","",""
"","7837","При создании нового заказа увеличивается 'Выполнено за сегодня'","tests","2026-02-05","passed","2026-02-05","TestFeed","test_feed","",""
"","7849","При создании нового заказа увеличивается 'Выполнено за все время'","tests","2026-02-05","passed","2026-02-05","TestFeed","test_feed","",""
"","2522","Модалка ингредиента закрывается по клику на крестик","tests","2026-02-05","passed","2026-02-05","TestConstructor","test_constructor","",""
"","1861","Переход по клику на 'Лента заказов'","tests","2026-02-05","passed","2026-02-05","TestConstructor","test_constructor","",""
"","3638","Модалка ингредиента закрывается по клику на крестик","tests","2026-02-05","passed","2026-02-05","TestConstructor","test_constructor","",""
"","7972","При создании нового заказа увеличивается 'Выполнено за сегодня'","tests","2026-02-05","passed","2026-02-05","TestFeed","test_feed","",""
"","1949","При добавлении ингредиента в заказ увеличивается счетчик","tests","2026-02-05","passed","2026-02-05","TestConstructor","test_constructor","",""
"","1956","Клик по ингредиенту открывает модалку с деталями","tests","2026-02-05","passed","2026-02-05","TestConstructor","test_constructor","",""
"","3007","Переход по клику на 'Лента заказов'","tests","2026-02-05","passed","2026-02-05","TestConstructor","test_constructor","",""
"","1985","Переход по клику на 'Конструктор'","tests","2026-02-05","passed","2026-02-05","TestConstructor","test_constructor","",""
"","6406","Номер заказа после оформления появляется в разделе 'В работе'","tests","2026-02-05","passed","2026-02-05","TestFeed","test_feed","",""
"","2994","Клик по ингредиенту открывает модалку с деталями","tests","2026-02-05","passed","2026-02-05","TestConstructor","test_constructor","",""
"","6488","Номер заказа после оформления появляется в разделе 'В работе'","tests","2026-02-05","passed","2026-02-05","TestFeed","test_feed","",""
